Index,Year,Births,Rank,Name
1,1936,58489,1,Robert
2,1937,61824,1,Robert
3,1938,62268,1,Robert
4,1939,59645,1,Robert
5,1940,61195,2,Robert
6,1941,64232,2,Robert
7,1942,71839,2,Robert
8,1943,74861,2,Robert
9,1944,70844,2,Robert
10,1945,69931,2,Robert
11,1946,84137,2,Robert
12,1947,91641,2,Robert
13,1948,85470,2,Robert
14,1949,83865,2,Robert
15,1950,83575,2,Robert
16,1951,86381,2,Robert
17,1952,86576,2,Robert
18,1953,86189,1,Robert
19,1954,86297,3,Robert
20,1955,83683,4,Robert
21,1956,83905,3,Robert
22,1957,81706,4,Robert
23,1958,77296,4,Robert
24,1959,74499,5,Robert
25,1960,72378,5,Robert
26,1961,72905,5,Robert
27,1962,70206,5,Robert
28,1963,70018,5,Robert
29,1964,70000,5,Robert
30,1965,63137,5,Robert
31,1966,59340,5,Robert
32,1967,56379,5,Robert
33,1968,58217,5,Robert
34,1969,58338,5,Robert
35,1970,57205,5,Robert
36,1971,50658,5,Robert
37,1972,43033,6,Robert
38,1973,38708,7,Robert
39,1974,37040,7,Robert
40,1975,35336,6,Robert
41,1976,33810,7,Robert
42,1977,34222,7,Robert
43,1978,33392,8,Robert
44,1979,34023,8,Robert
45,1980,34276,9,Robert
46,1981,34396,9,Robert
47,1982,34416,9,Robert
48,1983,32745,10,Robert
49,1984,31766,9,Robert
50,1985,32087,8,Robert
51,1986,31339,9,Robert
52,1987,30228,10,Robert
53,1988,30310,10,Robert
54,1989,30064,10,Robert
55,1990,28867,13,Robert
56,1991,26828,13,Robert
57,1992,24088,17,Robert
58,1993,22444,17,Robert
59,1994,20554,21,Robert
60,1995,18580,22,Robert
61,1996,17672,23,Robert
62,1997,16303,23,Robert
63,1998,15524,23,Robert
64,1999,14539,26,Robert
65,2000,13735,29,Robert
66,2001,12662,30,Robert
67,2002,12024,34,Robert
68,2003,11391,35,Robert
69,2004,10675,36,Robert
70,2005,10156,37,Robert
71,2006,9895,47,Robert
72,2007,9371,47,Robert
73,2008,8822,49,Robert
74,2009,7818,55,Robert
75,2010,7547,54,Robert
76,2011,6964,62,Robert
77,2012,6941,60,Robert
78,2013,6698,62,Robert
79,2014,6623,60,Robert
80,2015,6100,63,Robert
81,2016,5953,62,Robert
82,1936,54679,2,James
83,1937,56552,2,James
84,1938,59096,2,James
85,1939,59628,2,James
86,1940,62474,1,James
87,1941,66729,1,James
88,1942,77179,1,James
89,1943,80256,1,James
90,1944,76948,1,James
91,1945,74450,1,James
92,1946,87425,1,James
93,1947,94762,1,James
94,1948,88584,1,James
95,1949,86856,1,James
96,1950,86238,1,James
97,1951,87283,1,James
98,1952,87061,1,James
99,1953,85996,2,James
100,1954,86308,2,James
101,1955,84143,3,James
102,1956,84842,2,James
103,1957,84267,2,James
104,1958,78716,3,James
105,1959,78598,3,James
106,1960,76849,3,James
107,1961,75918,4,James
108,1962,72565,4,James
109,1963,71334,4,James
110,1964,73042,4,James
111,1965,67712,4,James
112,1966,65189,3,James
113,1967,61693,3,James
114,1968,60719,4,James
115,1969,59922,3,James
116,1970,61774,2,James
117,1971,54617,2,James
118,1972,47084,3,James
119,1973,42888,4,James
120,1974,41360,5,James
121,1975,39593,4,James
122,1976,38308,5,James
123,1977,40051,5,James
124,1978,39915,5,James
125,1979,39374,5,James
126,1980,39317,5,James
127,1981,38307,7,James
128,1982,38870,6,James
129,1983,36348,6,James
130,1984,35847,7,James
131,1985,35846,7,James
132,1986,34033,7,James
133,1987,32632,8,James
134,1988,32497,9,James
135,1989,32695,9,James
136,1990,32345,8,James
137,1991,30503,7,James
138,1992,28502,9,James
139,1993,26249,14,James
140,1994,24766,14,James
141,1995,22730,17,James
142,1996,21156,17,James
143,1997,20400,17,James
144,1998,19685,18,James
145,1999,18551,19,James
146,2000,17979,18,James
147,2001,17067,19,James
148,2002,16954,18,James
149,2003,16891,18,James
150,2004,16459,17,James
151,2005,16127,17,James
152,2006,16230,16,James
153,2007,15951,15,James
154,2008,15165,17,James
155,2009,14194,18,James
156,2010,13870,19,James
157,2011,13239,17,James
158,2012,13404,14,James
159,2013,13540,13,James
160,2014,14403,9,James
161,2015,14773,7,James
162,2016,14776,5,James
163,1936,47667,3,John
164,1937,48743,3,John
165,1938,50512,3,John
166,1939,51016,3,John
167,1940,54777,3,John
168,1941,57512,3,John
169,1942,66028,3,John
170,1943,68921,3,John
171,1944,66612,3,John
172,1945,66124,3,John
173,1946,79259,3,John
174,1947,88319,3,John
175,1948,82831,3,John
176,1949,81156,3,John
177,1950,79427,3,John
178,1951,81595,3,John
179,1952,83108,3,John
180,1953,80112,4,John
181,1954,81166,4,John
182,1955,80028,5,John
183,1956,80759,5,John
184,1957,78991,5,John
185,1958,75989,5,John
186,1959,76424,4,John
187,1960,76118,4,John
188,1961,79918,3,John
189,1962,78441,3,John
190,1963,78642,2,John
191,1964,82527,2,John
192,1965,71558,2,John
193,1966,65047,4,John
194,1967,61626,4,John
195,1968,60930,3,John
196,1969,58780,4,John
197,1970,58535,4,John
198,1971,51514,4,John
199,1972,43182,5,John
200,1973,39176,6,John
201,1974,37643,6,John
202,1975,35097,7,John
203,1976,34001,6,John
204,1977,34236,6,John
205,1978,34031,7,John
206,1979,35435,7,John
207,1980,35274,8,John
208,1981,34881,8,John
209,1982,34698,8,John
210,1983,33151,9,John
211,1984,32604,8,John
212,1985,31497,9,John
213,1986,30198,10,John
214,1987,29538,11,John
215,1988,29398,11,John
216,1989,29840,12,John
217,1990,29070,12,John
218,1991,27797,10,John
219,1992,26242,14,John
220,1993,24988,16,John
221,1994,24177,15,John
222,1995,23234,13,John
223,1996,22172,15,John
224,1997,21375,15,John
225,1998,20617,15,John
226,1999,20343,15,John
227,2000,20087,14,John
228,2001,18884,14,John
229,2002,17443,17,John
230,2003,17225,17,John
231,2004,16445,18,John
232,2005,15761,18,John
233,2006,15157,19,John
234,2007,14428,19,John
235,2008,13313,20,John
236,2009,12109,27,John
237,2010,11550,26,John
238,2011,11033,27,John
239,2012,10611,28,John
240,2013,10695,27,John
241,2014,10675,26,John
242,2015,10360,26,John
243,2016,9952,28,John
244,1936,39388,4,William
245,1937,40706,4,William
246,1938,42424,4,William
247,1939,42076,4,William
248,1940,44772,4,William
249,1941,47786,4,William
250,1942,54879,4,William
251,1943,55893,4,William
252,1944,52359,4,William
253,1945,50212,4,William
254,1946,60038,4,William
255,1947,66977,4,William
256,1948,61970,4,William
257,1949,61507,4,William
258,1950,60700,6,William
259,1951,62796,6,William
260,1952,63018,6,William
261,1953,61790,6,William
262,1954,61428,6,William
263,1955,59936,6,William
264,1956,58935,6,William
265,1957,56838,6,William
266,1958,54205,6,William
267,1959,51371,7,William
268,1960,49354,7,William
269,1961,48000,7,William
270,1962,44868,7,William
271,1963,44479,7,William
272,1964,44247,7,William
273,1965,40142,6,William
274,1966,38266,6,William
275,1967,37624,6,William
276,1968,36964,6,William
277,1969,37637,6,William
278,1970,38910,7,William
279,1971,35435,7,William
280,1972,30529,9,William
281,1973,28023,9,William
282,1974,26992,10,William
283,1975,25575,10,William
284,1976,24447,11,William
285,1977,24769,12,William
286,1978,24187,13,William
287,1979,24701,13,William
288,1980,25654,14,William
289,1981,24803,15,William
290,1982,25600,15,William
291,1983,25387,16,William
292,1984,24899,16,William
293,1985,24602,16,William
294,1986,24326,15,William
295,1987,24200,15,William
296,1988,24118,16,William
297,1989,24669,15,William
298,1990,24889,16,William
299,1991,23864,19,William
300,1992,23065,20,William
301,1993,22208,18,William
302,1994,21487,19,William
303,1995,20158,20,William
304,1996,20538,18,William
305,1997,20013,19,William
306,1998,20831,14,William
307,1999,20707,14,William
308,2000,20658,11,William
309,2001,20098,10,William
310,2002,20121,11,William
311,2003,19989,11,William
312,2004,20223,8,William
313,2005,19047,11,William
314,2006,18952,10,William
315,2007,18880,8,William
316,2008,18386,8,William
317,2009,17908,5,William
318,2010,17042,5,William
319,2011,17331,3,William
320,2012,16872,5,William
321,2013,16612,5,William
322,2014,16798,5,William
323,2015,15863,5,William
324,2016,15668,3,William
325,1936,33485,5,Richard
326,1937,32974,5,Richard
327,1938,34382,5,Richard
328,1939,35373,5,Richard
329,1940,37415,5,Richard
330,1941,39106,5,Richard
331,1942,43582,5,Richard
332,1943,46331,5,Richard
333,1944,45634,5,Richard
334,1945,46045,5,Richard
335,1946,58862,5,Richard
336,1947,58515,5,Richard
337,1948,50973,7,Richard
338,1949,50933,7,Richard
339,1950,51014,7,Richard
340,1951,54555,7,Richard
341,1952,58334,7,Richard
342,1953,58322,7,Richard
343,1954,57024,7,Richard
344,1955,53529,7,Richard
345,1956,52889,7,Richard
346,1957,52399,8,Richard
347,1958,49950,8,Richard
348,1959,47176,8,Richard
349,1960,43564,8,Richard
350,1961,41114,8,Richard
351,1962,39417,8,Richard
352,1963,40783,8,Richard
353,1964,40103,8,Richard
354,1965,36855,8,Richard
355,1966,34470,8,Richard
356,1967,33594,8,Richard
357,1968,32989,8,Richard
358,1969,31111,10,Richard
359,1970,30463,10,Richard
360,1971,26169,11,Richard
361,1972,22322,14,Richard
362,1973,19952,16,Richard
363,1974,18651,17,Richard
364,1975,17685,16,Richard
365,1976,16765,19,Richard
366,1977,17451,20,Richard
367,1978,16734,22,Richard
368,1979,16721,25,Richard
369,1980,16661,26,Richard
370,1981,16860,27,Richard
371,1982,16709,27,Richard
372,1983,15896,27,Richard
373,1984,15596,27,Richard
374,1985,15330,28,Richard
375,1986,15007,29,Richard
376,1987,14400,30,Richard
377,1988,14140,32,Richard
378,1989,14134,33,Richard
379,1990,13574,35,Richard
380,1991,12551,34,Richard
381,1992,11325,41,Richard
382,1993,10227,40,Richard
383,1994,9513,41,Richard
384,1995,8783,42,Richard
385,1996,8179,45,Richard
386,1997,7242,51,Richard
