Index,Year,Births,Rank,Name
1,1936,2833,85,Emma
2,1937,2747,89,Emma
3,1938,2668,96,Emma
4,1939,2686,89,Emma
5,1940,2606,94,Emma
6,1941,2545,99,Emma
7,1942,2605,108,Emma
8,1943,2421,114,Emma
9,1944,2247,118,Emma
10,1945,2052,122,Emma
11,1946,2071,131,Emma
12,1947,2142,140,Emma
13,1948,2097,139,Emma
14,1949,2000,147,Emma
15,1950,1898,154,Emma
16,1951,1728,174,Emma
17,1952,1712,179,Emma
18,1953,1589,195,Emma
19,1954,1527,202,Emma
20,1955,1457,211,Emma
21,1956,1345,226,Emma
22,1957,1215,243,Emma
23,1958,0,0,Emma
24,1959,0,0,Emma
25,1960,0,0,Emma
26,1961,0,0,Emma
27,1962,0,0,Emma
28,1963,0,0,Emma
29,1964,0,0,Emma
30,1965,0,0,Emma
31,1966,0,0,Emma
32,1967,0,0,Emma
33,1968,0,0,Emma
34,1969,0,0,Emma
35,1970,0,0,Emma
36,1971,0,0,Emma
37,1972,0,0,Emma
38,1973,0,0,Emma
39,1974,0,0,Emma
40,1975,0,0,Emma
41,1976,0,0,Emma
42,1977,0,0,Emma
43,1978,0,0,Emma
44,1979,0,0,Emma
45,1980,0,0,Emma
46,1981,0,0,Emma
47,1982,0,0,Emma
48,1983,0,0,Emma
49,1984,0,0,Emma
50,1985,0,0,Emma
51,1986,1256,211,Emma
52,1987,1588,175,Emma
53,1988,1787,160,Emma
54,1989,1935,149,Emma
55,1990,2416,130,Emma
56,1991,2591,123,Emma
57,1992,3208,104,Emma
58,1993,4104,80,Emma
59,1994,4761,74,Emma
60,1995,5044,67,Emma
61,1996,6137,53,Emma
62,1997,7736,36,Emma
63,1998,10434,22,Emma
64,1999,11722,17,Emma
65,2000,12545,17,Emma
66,2001,13306,13,Emma
67,2002,16534,4,Emma
68,2003,22702,2,Emma
69,2004,21604,2,Emma
70,2005,20336,2,Emma
71,2006,19108,2,Emma
72,2007,18365,3,Emma
73,2008,18806,1,Emma
74,2009,17889,2,Emma
75,2010,17333,3,Emma
76,2011,18791,3,Emma
77,2012,20922,2,Emma
78,2013,20921,2,Emma
79,2014,20912,1,Emma
80,2015,20415,1,Emma
81,2016,19414,1,Emma
82,1936,0,0,Olivia
83,1937,0,0,Olivia
84,1938,0,0,Olivia
85,1939,0,0,Olivia
86,1940,0,0,Olivia
87,1941,0,0,Olivia
88,1942,0,0,Olivia
89,1943,0,0,Olivia
90,1944,729,246,Olivia
91,1945,0,0,Olivia
92,1946,0,0,Olivia
93,1947,0,0,Olivia
94,1948,0,0,Olivia
95,1949,0,0,Olivia
96,1950,0,0,Olivia
